Unnamed: 0,session.x,ccode1,ccode2,agree,year,IdealPointAll.x,NVotesAll.x,IdealPointAll.y,NVotesAll.y,IdealPointDistance
121183,20,155,830,0.695652173913043,1965,0.6164289,40.0,-0.7661829,23.0,1.3826118
121299,20,160,830,0.630434782608696,1965,0.7512203,40.0,-0.7661829,23.0,1.5174032
121415,20,165,830,0.590909090909091,1965,0.9082232,39.0,-0.7661829,23.0,1.6744061
121531,20,200,830,0.380952380952381,1965,2.130996,38.0,-0.7661829,23.0,2.8971789
121647,20,205,830,0.478260869565217,1965,1.422882,40.0,-0.7661829,23.0,2.1890649
121763,20,210,830,0.41304347826087,1965,1.825491,40.0,-0.7661829,23.0,2.5916739
121879,20,211,830,0.41304347826087,1965,1.814997,40.0,-0.7661829,23.0,2.5811799
121995,20,212,830,0.391304347826087,1965,1.795774,40.0,-0.7661829,23.0,2.5619569
122111,20,220,830,0.5,1965,1.531399,40.0,-0.7661829,23.0,2.2975819
122227,20,230,830,0.58695652173913,1965,1.346268,40.0,-0.7661829,23.0,2.1124509
122343,20,235,830,0.30952380952381,1965,2.268713,38.0,-0.7661829,23.0,3.0348959
122459,20,290,830,0.934782608695652,1965,-2.31428,40.0,-0.7661829,23.0,1.5480971
122575,20,305,830,0.5,1965,1.292449,40.0,-0.7661829,23.0,2.0586319
122691,20,310,830,0.934782608695652,1965,-2.304208,40.0,-0.7661829,23.0,1.5380251
122807,20,315,830,0.934782608695652,1965,-2.318286,40.0,-0.7661829,23.0,1.5521031
122923,20,325,830,0.434782608695652,1965,1.600097,40.0,-0.7661829,23.0,2.3662799
123039,20,338,830,0.409090909090909,1965,1.740614,13.0,-0.7661829,23.0,2.5067969
123155,20,339,830,0.894736842105263,1965,-2.527274,24.0,-0.7661829,23.0,1.7610911
123271,20,345,830,0.978260869565217,1965,-0.9957678,40.0,-0.7661829,23.0,0.2295849
123387,20,350,830,0.772727272727273,1965,0.5874641,39.0,-0.7661829,23.0,1.353647
123503,20,352,830,0.944444444444444,1965,-0.3065941,22.0,-0.7661829,23.0,0.4595888
123619,20,355,830,0.934782608695652,1965,-2.325958,40.0,-0.7661829,23.0,1.5597751
123735,20,360,830,0.934782608695652,1965,-2.197635,40.0,-0.7661829,23.0,1.4314521
123851,20,365,830,0.934782608695652,1965,-2.321785,40.0,-0.7661829,23.0,1.5556021
123967,20,369,830,0.934782608695652,1965,-2.323652,40.0,-0.7661829,23.0,1.5574691
124083,20,370,830,0.934782608695652,1965,-2.299345,40.0,-0.7661829,23.0,1.5331621
124199,20,375,830,0.58695652173913,1965,1.128828,40.0,-0.7661829,23.0,1.8950109
124315,20,380,830,0.565217391304348,1965,1.334321,40.0,-0.7661829,23.0,2.1005039
124431,20,385,830,0.543478260869565,1965,1.451746,40.0,-0.7661829,23.0,2.2179289
124547,20,390,830,0.565217391304348,1965,1.329774,40.0,-0.7661829,23.0,2.0959569
124663,20,395,830,0.477272727272727,1965,1.582137,39.0,-0.7661829,23.0,2.3483199
124778,20,420,830,0.0,1965,0.5960387,2.0,-0.7661829,23.0,1.3622216
124894,20,432,830,0.954545454545455,1965,-0.849068,38.0,-0.7661829,23.0,0.0828851
125010,20,433,830,0.934782608695652,1965,-0.09629201,40.0,-0.7661829,23.0,0.66989089
125124,20,434,830,0.96875,1965,-0.2362412,33.0,-0.7661829,23.0,0.5299417
125240,20,435,830,1.0,1965,-0.6936659,39.0,-0.7661829,23.0,0.0725170000000001
125356,20,436,830,0.880952380952381,1965,0.09978325,36.0,-0.7661829,23.0,0.86596615
125472,20,437,830,0.869565217391304,1965,0.1139265,40.0,-0.7661829,23.0,0.8801094
125588,20,438,830,0.956521739130435,1965,-0.8816787,40.0,-0.7661829,23.0,0.1154958
125704,20,439,830,0.857142857142857,1965,-0.03097943,38.0,-0.7661829,23.0,0.73520347
125820,20,450,830,0.833333333333333,1965,-0.03672711,38.0,-0.7661829,23.0,0.72945579
125936,20,451,830,0.934782608695652,1965,-0.1807312,40.0,-0.7661829,23.0,0.5854517
126052,20,452,830,0.978260869565217,1965,-1.020874,40.0,-0.7661829,23.0,0.2546911
126168,20,461,830,0.80952380952381,1965,0.2483066,38.0,-0.7661829,23.0,1.0144895
126284,20,471,830,0.904761904761905,1965,-0.3685568,37.0,-0.7661829,23.0,0.3976261
126400,20,475,830,0.977272727272727,1965,-0.525166,39.0,-0.7661829,23.0,0.2410169
