Transfers of major conventional arms from All countries  to Singapore  . Deals with deliveries made for the year range 'Not specified' to 'Not specified' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 15 Mar 2025 3:16:35 PM
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Singapore,United States,1996,,12,,F-16C Block-50/52,FGA aircraft,12,,1997,New,Leased from producer for 30 months; bought after lease; for training in USA; F-16CJ Block-52 version,31,372,372
Singapore,United States,1971,,1,,LST-1,landing ship,1,,1971,Second hand,Second-hand; loan until bought in 1975; Singaporean designation Endurance,9.45,9.45,9.45
Singapore,France,1982,,8,,T-33A Shooting Star,trainer aircraft,8,,1982; 1983,Second hand,Second-hand,1,8,8
Singapore,United Kingdom,1994,?,250,,Rapier-2,SAM,250,,1998; 1999,New,Possibly (incl) Singaporean Rapier-1 missiles rebuilt to Rapier-2,0.14,35,35
Singapore,United Kingdom,1994,?,12,?,Rapier-2000,SAM system,12,,1998; 1999,New,Singaporean Rapier SAM systems rebuilt to Rapier-2000,9,108,108
Singapore,United States,1974,,1,,TPS-43,air search radar,1,,1975,New,Incl for civilian air traffic control,9,9,9
Singapore,Sweden,2018,?,50,?,RBS-70 Mk-3 Bolide,portable SAM,50,,2019,New,RBS-70NG version,0.1,5,5
Singapore,United States,2010,,670,,JDAM,guided bomb,670,,2011; 2012,New,$40 m deal,0.02,13.4,13.4
Singapore,France,1990,,20,,AS-350/AS-550 Fennec,light helicopter,20,,1991; 1992,New,Assembled from kits in Singapore; incl 10 AS-550A2 with 20mm gun and 10 AS-550C2 with TOW anti-tank missiles,0.9,18,18
Singapore,United Kingdom,1955,?,1,,Ford,patrol boat,1,,1956,New,Originally built for Singapore Government 1956; transferred to Malaysian Federation 1963 and transferred to Singapore 1967; produced under licence in Singapore; Singaporean designation Panglima,5.5,5.5,5.5
Singapore,Germany,1986,,6,,MGB-62,corvette,6,,1990; 1991,New,Incl 5 produced under licence in Singapore; Singaporean designation Victory,76,456,456
Singapore,Italy,1983,,30,,S-211,trainer/combat aircraft,30,,1984; 1985; 1986; 1987,New,$60 m deal (offsets incl assembly of kits and production of components in Singapore),2,60,60
Singapore,Sweden,1978,?,500,?,RBS-70,portable SAM,500,,1980; 1981,New,$13 m deal (incl 25 launchers); most assembled from kits in Singapore,0.08,40,40
Singapore,United Kingdom,1968,,6,,Vosper Type-A/B,patrol boat,6,,1970; 1971,New,GBP4 m deal; incl 4 produced under licence in Singapore; Singaporean designation Independence and Sovereignity,5.9,35.4,35.4
Singapore,Germany,1970,,6,,TNC-45,missile boat,6,,1972; 1974; 1975; 1976,New,Incl 4 produced under licence in Singapore; Singaporean designation Sea Wolf,44,264,264
Singapore,United States,2009,,35,,JDAM,guided bomb,35,,2010,New,,0.02,0.7,0.7
Singapore,Netherlands,2011,?,6,?,STIR,fire control radar,6,?,2013; 2014; 2015,New,STIR Mk-2 version for 6 La Fayette (Formidable) frigates from France,4.5,27,27
Singapore,United States,2023,?,8,,F-35B Lightning-2,FGA aircraft,0,,,New,,60,480,0
Singapore,France,2014,?,51,?,Higuard,APC,51,,2014; 2015; 2016,New,,0.4,20.4,20.4
Singapore,United States,2000,?,1400,?,vehicle engine,vehicle engine,1400,,2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017,New,Caterpillar-3126 (350hp) diesel engine for 1400 Bronco APC produced in Singapore,0.05,70,70
Singapore,Germany,2017,,,,vehicle engine,vehicle engine,220,,2019; 2020; 2021; 2022; 2023; 2024,New,MTU 8V199 (720hp) diesel engine for Hunter IFV and APC produced in Singapore,0.11,0,24.2
Singapore,France,1989,?,14,,AS-532 Cougar,transport helicopter,14,,1990; 1992; 1993,New,AS-532UL version; incl for SAR,7.25,101.5,101.5
